Domain,Group,Field,numpub
Health Sciences,Dentistry,Oral Surgery,39
Health Sciences,Dentistry,Periodontics,115
Health Sciences,Health Professions,Emergency Medical Services,846
Health Sciences,Health Professions,General Health Professions,5195
Health Sciences,Health Professions,Health Information Management,265
Health Sciences,Health Professions,Medical Laboratory Technology,37
Health Sciences,Health Professions,Occupational Therapy,116
Health Sciences,Health Professions,Pharmacy,284
Health Sciences,Health Professions,"Physical Therapy, Sports Therapy and Rehabilitation",204
Health Sciences,Health Professions,Radiological and Ultrasound Technology,222
Health Sciences,Health Professions,Speech and Hearing,491
Health Sciences,Medicine,Anesthesiology and Pain Medicine,334
Health Sciences,Medicine,Biochemistry,265
Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,5546
Health Sciences,Medicine,Complementary and alternative medicine,177
Health Sciences,Medicine,Critical Care and Intensive Care Medicine,829
Health Sciences,Medicine,Dermatology,904
Health Sciences,Medicine,Emergency Medicine,1956
Health Sciences,Medicine,"Endocrinology, Diabetes and Metabolism",1890
Health Sciences,Medicine,Epidemiology,7889
Health Sciences,Medicine,Family Practice,243
Health Sciences,Medicine,Gastroenterology,408
Health Sciences,Medicine,Genetics,1781
Health Sciences,Medicine,Geriatrics and Gerontology,644
Health Sciences,Medicine,Health Informatics,343
Health Sciences,Medicine,Hematology,1382
Health Sciences,Medicine,Hepatology,980
Health Sciences,Medicine,Immunology and Allergy,533
Health Sciences,Medicine,Infectious Diseases,6516
Health Sciences,Medicine,Internal Medicine,340
Health Sciences,Medicine,Nephrology,1245
Health Sciences,Medicine,Neurology,3211
Health Sciences,Medicine,Obstetrics and Gynecology,1018
Health Sciences,Medicine,Oncology,5506
Health Sciences,Medicine,Ophthalmology,1828
Health Sciences,Medicine,Orthopedics and Sports Medicine,304
Health Sciences,Medicine,Otorhinolaryngology,549
Health Sciences,Medicine,Pathology and Forensic Medicine,2346
Health Sciences,Medicine,"Pediatrics, Perinatology and Child Health",3347
Health Sciences,Medicine,Pharmacology,1262
Health Sciences,Medicine,Physiology,4390
Health Sciences,Medicine,Psychiatry and Mental health,2861
Health Sciences,Medicine,"Public Health, Environmental and Occupational Health",7700
Health Sciences,Medicine,Pulmonary and Respiratory Medicine,7531
Health Sciences,Medicine,"Radiology, Nuclear Medicine and Imaging",4691
Health Sciences,Medicine,Rehabilitation,361
Health Sciences,Medicine,Reproductive Medicine,552
Health Sciences,Medicine,Rheumatology,1747
Health Sciences,Medicine,Surgery,8659
Health Sciences,Medicine,Transplantation,452
Health Sciences,Medicine,Urology,303
Health Sciences,Nursing,"Issues, ethics and legal aspects",43
Health Sciences,Nursing,Nutrition and Dietetics,1667
Health Sciences,Veterinary,Small Animals,156
Life Sciences,Agricultural and Biological Sciences,Agronomy and Crop Science,58
Life Sciences,Agricultural and Biological Sciences,Animal Science and Zoology,59
Life Sciences,Agricultural and Biological Sciences,"Ecology, Evolution, Behavior and Systematics",205
Life Sciences,Agricultural and Biological Sciences,Food Science,230
Life Sciences,Agricultural and Biological Sciences,General Agricultural and Biological Sciences,48
Life Sciences,Agricultural and Biological Sciences,Insect Science,145
Life Sciences,Agricultural and Biological Sciences,Plant Science,488
Life Sciences,Agricultural and Biological Sciences,Soil Science,41
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Aging,162
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biochemistry,223
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biophysics,389
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biotechnology,177
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Cancer Research,1848
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Cell Biology,1091
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Clinical Biochemistry,308
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Developmental Biology,54
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Endocrinology,447
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Genetics,3150
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,11558
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Medicine,264
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Physiology,94
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Structural Biology,31
Life Sciences,Immunology and Microbiology,Applied Microbiology and Biotechnology,229
Life Sciences,Immunology and Microbiology,Immunology,2362
Life Sciences,Immunology and Microbiology,Microbiology,527
Life Sciences,Immunology and Microbiology,Parasitology,404
Life Sciences,Immunology and Microbiology,Virology,876
